Date,Increase in cases,Total Cases
1/25/2020,1,1
1/26/2020,0,1
1/27/2020,0,1
1/28/2020,1,2
1/29/2020,0,2
1/30/2020,1,3
1/31/2020,1,4
2/1/2020,0,4
2/2/2020,0,4
2/3/2020,0,4
2/4/2020,0,4
2/5/2020,0,4
2/6/2020,0,4
2/7/2020,0,4
2/8/2020,0,4
2/9/2020,0,4
2/10/2020,0,4
2/11/2020,0,4
2/12/2020,0,4
2/13/2020,0,4
2/14/2020,0,4
2/15/2020,0,4
2/16/2020,0,4
2/17/2020,0,4
2/18/2020,0,4
2/22/2020,2,6
2/23/2020,0,6
2/24/2020,0,6
2/25/2020,1,7
2/26/2020,0,7
2/27/2020,0,7
2/28/2020,0,7
3/1/2020,2,9
3/2/2020,0,9
3/3/2020,0,9
3/4/2020,1,10
3/5/2020,0,10
3/6/2020,1,11
3/7/2020,1,12
3/8/2020,2,14
3/9/2020,3,17
3/10/2020,2,19
3/11/2020,5,24
3/12/2020,10,34
3/13/2020,15,49
3/14/2020,5,54
3/15/2020,7,61
3/16/2020,17,78
3/17/2020,37,115
3/18/2020,30,145
3/19/2020,33,178
3/20/2020,43,221
3/21/2020,46,267
3/22/2020,73,340
3/23/2020,56,396
3/24/2020,64,460
3/25/2020,58,518
3/26/2020,54,572
3/27/2020,106,678
3/28/2020,78,756
3/29/2020,54,810
3/30/2020,88,898
3/31/2020,58,956
4/1/2020,63,1019
4/2/2020,59,1078
4/3/2020,22,1100
4/4/2020,29,1129
4/5/2020,26,1155
4/6/2020,33,1188
4/7/2020,24,1212
4/8/2020,13,1225
4/9/2020,12,1237
4/10/2020,24,1261
4/11/2020,6,1267
4/12/2020,8,1275
4/13/2020,9,1284
4/14/2020,4,1288
4/15/2020,5,1293
4/16/2020,7,1300
4/17/2020,14,1314
4/18/2020,13,1327
4/19/2020,1,1328
4/20/2020,5,1333
4/21/2020,1,1334
4/22/2020,1,1335
4/23/2020,5,1340
4/24/2020,3,1343
4/25/2020,3,1346
4/26/2020,1,1347
4/27/2020,3,1350
4/28/2020,3,1353
4/29/2020,7,1360
4/30/2020,5,1365
5/1/2020,10,1375
5/2/2020,11,1386
5/3/2020,21,1407
5/4/2020,14,1421
5/5/2020,16,1437
5/6/2020,15,1452
5/7/2020,13,1465
5/8/2020,12,1477
5/9/2020,8,1485
5/10/2020,5,1490
5/11/2020,16,1506
5/12/2020,7,1513
5/13/2020,9,1522
5/14/2020,19,1541
5/15/2020,13,1554
5/16/2020,5,1559
5/17/2020,6,1565
5/18/2020,7,1572
5/19/2020,5,1577
5/20/2020,5,1582
5/21/2020,10,1592
5/22/2020,9,1601
5/23/2020,2,1603
5/24/2020,2,1605
5/25/2020,5,1610
5/26/2020,7,1617
5/27/2020,10,1627
5/28/2020,6,1633
5/29/2020,8,1641
5/30/2020,8,1649
5/31/2020,4,1653
6/1/2020,9,1662
6/2/2020,7,1669
6/3/2020,8,1677
6/4/2020,3,1680
6/5/2020,1,1681
6/6/2020,4,1685
6/7/2020,2,1687
6/8/2020,0,1687
6/9/2020,4,1691
6/10/2020,7,1698
6/11/2020,5,1703
6/12/2020,8,1711
6/13/2020,10,1721
6/14/2020,12,1733
6/15/2020,9,1742
6/16/2020,20,1762
6/17/2020,18,1780
6/18/2020,12,1792
6/19/2020,25,1817
6/20/2020,17,1834
6/21/2020,13,1847
6/22/2020,17,1864
6/23/2020,18,1882
6/24/2020,33,1915
6/25/2020,28,1943
6/26/2020,40,1983
6/27/2020,46,2029
6/28/2020,69,2098
6/29/2020,61,2159
6/30/2020,76,2235
7/1/2020,73,2308
7/2/2020,62,2370
7/3/2020,100,2470
7/4/2020,68,2538
7/5/2020,98,2636
7/6/2020,168,2804
7/7/2020,121,2925
7/8/2020,149,3074
7/9/2020,143,3217
7/10/2020,289,3506
7/11/2020,256,3762
7/12/2020,167,3929
7/13/2020,248,4177
7/14/2020,220,4397
7/15/2020,295,4692
7/16/2020,379,5071
7/17/2020,212,5283
7/18/2020,338,5621
7/19/2020,264,5885
7/20/2020,341,6226
7/21/2020,437,6663
7/22/2020,376,7039
7/23/2020,288,7327
7/24/2020,335,7662
7/25/2020,411,8073
7/26/2020,495,8568
7/27/2020,358,8926
7/28/2020,273,9199
7/29/2020,629,9828
7/30/2020,549,10377
7/31/2020,368,10745
8/1/2020,602,11347
8/2/2020,354,11701
8/3/2020,405,12106
8/4/2020,687,12793
8/5/2020,445,13238
8/6/2020,420,13658
8/7/2020,454,14112
8/8/2020,373,14485
8/9/2020,310,14795
8/10/2020,321,15116
8/11/2020,401,15517
8/12/2020,255,15772
8/13/2020,361,16133
8/14/2020,300,16433
8/15/2020,267,16700
8/16/2020,267,16967
8/17/2020,217,17184
8/18/2020,208,17392
8/19/2020,231,17623
8/20/2020,170,17793
8/21/2020,173,17966
8/22/2020,203,18169
8/23/2020,110,18279
8/24/2020,147,18426
8/25/2020,144,18570
8/26/2020,111,18681
8/27/2020,110,18791
8/28/2020,90,18881
8/29/2020,108,18989
8/30/2020,71,19060
8/31/2020,66,19126
9/1/2020,88,19214
9/2/2020,110,19324
9/3/2020,77,19401
9/4/2020,74,19475
9/5/2020,63,19538
