City,State,population,Total cases,Date,New cases today
Alpine,Victoria,12814,1,15/10/2020,0
Ararat,Victoria,11845,7,15/10/2020,0
Ballarat,Victoria,109505,57,15/10/2020,0
Banyule,Victoria,131631,448,15/10/2020,0
Bass Coast,Victoria,36320,11,15/10/2020,0
Baw Baw,Victoria,53396,15,15/10/2020,0
Bayside,Victoria,106862,245,15/10/2020,0
Benalla,Victoria,14037,3,15/10/2020,0
Boroondara,Victoria,183199,271,15/10/2020,0
Brimbank,Victoria,209523,2038,15/10/2020,0
Buloke,Victoria,6124,0,15/10/2020,0
Campaspe,Victoria,37622,9,15/10/2020,0
Cardinia,Victoria,112159,204,15/10/2020,0
Casey,Victoria,353872,1060,15/10/2020,0
Central Goldfields,Victoria,13186,2,15/10/2020,0
Colac-Otway,Victoria,21564,136,15/10/2020,0
Corangamite,Victoria,16020,3,15/10/2020,0
Darebin,Victoria,164184,649,15/10/2020,0
East Gippsland,Victoria,47316,7,15/10/2020,0
Frankston,Victoria,142643,251,15/10/2020,0
Gannawarra,Victoria,10472,2,15/10/2020,0
Glen Eira,Victoria,156511,230,15/10/2020,1
Glenelg,Victoria,19674,20,15/10/2020,0
Golden Plains,Victoria,23722,18,15/10/2020,0
Greater Bendigo,Victoria,118093,101,15/10/2020,0
Greater Dandenong,Victoria,168201,541,15/10/2020,0
Greater Geelong,Victoria,258934,365,15/10/2020,0
Greater Shepparton,Victoria,66498,52,15/10/2020,0
Hepburn,Victoria,15975,2,15/10/2020,0
Hindmarsh,Victoria,5588,0,15/10/2020,0
Hobsons Bay,Victoria,97751,503,15/10/2020,0
Horsham,Victoria,19921,14,15/10/2020,0
Hume,Victoria,233471,1651,15/10/2020,1
Indigo,Victoria,16701,1,15/10/2020,0
Kingston,Victoria,165782,300,15/10/2020,0
Knox,Victoria,164538,165,15/10/2020,0
Latrobe,Victoria,75561,57,15/10/2020,0
Loddon,Victoria,7504,5,15/10/2020,0
Macedon Ranges,Victoria,50231,58,15/10/2020,0
Manningham,Victoria,127573,165,15/10/2020,0
Mansfield,Victoria,9176,10,15/10/2020,0
Maribyrnong,Victoria,93448,593,15/10/2020,0
Maroondah,Victoria,118558,104,15/10/2020,0
Melbourne,Victoria,178955,880,15/10/2020,0
Melton,Victoria,164895,1141,15/10/2020,0
Mildura,Victoria,55777,6,15/10/2020,0
Mitchell,Victoria,46082,90,15/10/2020,0
Moira,Victoria,29925,12,15/10/2020,0
Monash,Victoria,202847,339,15/10/2020,0
Moonee Valley,Victoria,130294,812,15/10/2020,0
Moorabool,Victoria,35049,39,15/10/2020,0
Moreland,Victoria,185767,1053,15/10/2020,0
Mornington Peninsula,Victoria,167636,184,15/10/2020,0
Mount Alexander,Victoria,19754,9,15/10/2020,0
Moyne,Victoria,16953,1,15/10/2020,0
Murrindindi,Victoria,14570,9,15/10/2020,0
Nillumbik,Victoria,65094,137,15/10/2020,0
Northern Grampians,Victoria,11402,3,15/10/2020,0
Port Phillip,Victoria,115601,294,15/10/2020,1
Pyrenees,Victoria,7472,3,15/10/2020,0
Queenscliffe,Victoria,2940,2,15/10/2020,0
South Gippsland,Victoria,29914,11,15/10/2020,0
Southern Grampians,Victoria,16100,2,15/10/2020,0
Stonnington,Victoria,117768,260,15/10/2020,0
Strathbogie,Victoria,10781,2,15/10/2020,0
Surf Coast,Victoria,33456,15,15/10/2020,0
Swan Hill,Victoria,20649,5,15/10/2020,0
Towong,Victoria,6040,0,15/10/2020,0
Wangaratta,Victoria,29187,2,15/10/2020,0
Warrnambool,Victoria,35181,13,15/10/2020,0
West Wimmera,Victoria,3841,1,15/10/2020,0
Whitehorse,Victoria,178739,217,15/10/2020,3
Whittlesea,Victoria,230238,1203,15/10/2020,0
Wodonga,Victoria,42083,2,15/10/2020,0
Wyndham,Victoria,270487,2268,15/10/2020,0
Yarra,Victoria,101495,460,15/10/2020,0
Yarra Ranges,Victoria,159462,252,15/10/2020,0
Yarriambiack,Victoria,6639,1,15/10/2020,0
